customer_id,tenure_months,monthly_charges,total_charges,contract,payment_method,internet_service,support_calls,usage_gb,late_payments,senior_citizen,has_dependents,churn
C10027,60,79.6,4750.77,Month-to-month,Mailed check,No,2,8.7,1,0,1,1
C10028,40,42.31,1741.38,Month-to-month,Bank transfer,No,2,33.3,0,1,0,0
C10029,32,65.91,2134.54,One year,Electronic check,Fiber optic,1,15.1,0,0,0,0
C10030,33,15.0,454.08,Month-to-month,Bank transfer,Fiber optic,1,77.3,1,0,0,0
C10031,17,70.29,1202.16,One year,Credit card,DSL,2,23.8,1,0,0,0
C10032,7,84.05,493.4,Month-to-month,Mailed check,DSL,2,84.2,0,0,0,1
C10033,40,58.0,2297.04,One year,Bank transfer,DSL,0,13.9,1,0,1,0
C10034,64,110.41,7104.68,Month-to-month,Electronic check,DSL,1,151.7,1,0,1,0
C10035,5,42.97,209.84,Month-to-month,Credit card,Fiber optic,1,30.8,0,0,1,1
C10036,62,70.44,4372.0,Month-to-month,Electronic check,Fiber optic,1,28.2,1,0,0,1
C10037,60,64.1,3725.34,Month-to-month,Bank transfer,Fiber optic,1,73.3,0,1,0,1
C10038,20,62.49,1234.11,Month-to-month,Electronic check,Fiber optic,5,54.7,0,0,1,0
C10039,46,62.14,2871.97,Month-to-month,Electronic check,DSL,0,31.1,0,0,0,0
C10040,12,67.68,830.77,One year,Electronic check,Fiber optic,0,27.4,0,1,0,0
C10041,55,86.2,4779.49,Month-to-month,Electronic check,DSL,0,121.7,1,0,0,1
C10042,51,99.44,5063.03,One year,Credit card,DSL,4,36.9,0,0,0,1
C10043,26,64.94,1681.81,One year,Electronic check,No,1,38.1,1,0,1,1
C10044,5,85.38,373.62,Month-to-month,Credit card,DSL,2,13.9,0,0,0,1
C10045,70,47.46,3314.02,One year,Mailed check,Fiber optic,0,104.3,0,0,0,0
C10046,33,84.15,2726.49,Month-to-month,Electronic check,Fiber optic,4,18.3,1,0,1,0
C10047,65,45.95,2912.84,One year,Mailed check,Fiber optic,5,16.6,0,0,0,0
C10048,49,92.27,4477.82,One year,Electronic check,Fiber optic,2,80.0,0,0,0,1
C10049,57,120.27,6915.74,One year,Credit card,Fiber optic,2,0.9,0,0,0,1
C10050,55,61.95,3396.43,Month-to-month,Electronic check,Fiber optic,1,46.2,0,0,0,1
C10051,15,15.0,233.8,One year,Credit card,Fiber optic,0,28.1,0,1,0,0
C10052,27,51.3,1364.56,Month-to-month,Electronic check,No,1,34.2,0,1,0,0
C10053,34,95.8,3185.58,Month-to-month,Electronic check,DSL,2,18.8,0,0,0,0
C10054,36,78.83,2875.32,Month-to-month,Electronic check,Fiber optic,0,23.5,0,0,0,1
C10055,4,71.22,197.99,Month-to-month,Bank transfer,DSL,3,5.8,0,0,1,1
C10056,40,90.22,3586.61,One year,Mailed check,DSL,0,73.3,0,0,0,0
C10057,12,77.11,923.14,Two year,Credit card,No,1,31.3,1,0,0,0
C10058,54,95.44,5162.98,Month-to-month,Mailed check,Fiber optic,1,84.3,0,0,0,0
C10059,50,87.99,4370.44,One year,Electronic check,DSL,1,165.2,0,1,0,0
C10060,67,103.04,6830.16,One year,Bank transfer,Fiber optic,2,14.4,0,0,0,1
C10061,54,73.97,3962.34,Two year,Bank transfer,DSL,2,63.0,2,0,0,0
C10062,27,87.63,2336.06,One year,Credit card,Fiber optic,0,16.2,1,0,0,0
C10063,70,57.32,3981.48,Month-to-month,Mailed check,Fiber optic,2,21.0,1,0,0,0
C10064,30,49.96,1537.6,Month-to-month,Bank transfer,No,0,36.7,0,1,1,0
C10065,24,107.67,2535.54,One year,Electronic check,DSL,0,147.7,1,0,0,1
C10066,66,70.41,4659.1,Month-to-month,Credit card,Fiber optic,1,29.3,1,0,0,1
C10067,27,85.12,2304.57,Two year,Electronic check,No,1,35.8,0,0,0,0
C10068,6,68.09,446.96,Two year,Credit card,No,2,46.3,0,0,1,0
C10069,34,50.34,1706.23,Two year,Electronic check,DSL,1,35.2,0,0,0,0
C10070,58,65.27,3817.31,Month-to-month,Credit card,Fiber optic,1,14.3,0,0,0,1
C10071,14,100.9,1405.71,One year,Credit card,No,2,89.3,0,0,0,1
C10072,34,78.88,2699.3,One year,Credit card,Fiber optic,2,26.7,0,0,0,0
C10073,10,22.21,161.98,Month-to-month,Mailed check,Fiber optic,2,9.6,1,0,0,1
C10074,50,59.62,2875.47,Month-to-month,Mailed check,Fiber optic,0,49.6,0,0,0,1
C10075,35,109.56,3849.7,Month-to-month,Credit card,No,1,93.2,0,0,0,1
C10076,24,59.66,1449.09,Month-to-month,Bank transfer,Fiber optic,3,18.6,0,0,1,0
C10077,17,19.99,358.85,Two year,Bank transfer,DSL,1,31.6,0,0,0,0
C10078,41,112.33,4584.53,Two year,Electronic check,Fiber optic,1,37.8,0,0,0,1
C10079,49,82.06,4080.53,Month-to-month,Mailed check,Fiber optic,1,24.9,0,0,1,1
C10080,68,63.25,4282.6,Month-to-month,Mailed check,Fiber optic,3,38.9,0,0,0,0
C10081,32,55.71,1799.56,Month-to-month,Bank transfer,Fiber optic,0,118.9,0,1,0,1
C10082,12,92.06,1128.51,Month-to-month,Electronic check,Fiber optic,0,39.6,1,0,0,1
C10083,60,51.45,3155.75,Month-to-month,Mailed check,Fiber optic,1,57.8,2,0,0,0
C10084,46,93.71,4297.98,One year,Credit card,No,1,28.3,1,1,0,1
C10085,51,78.55,3979.92,One year,Bank transfer,Fiber optic,0,48.6,1,0,1,0
C10086,8,71.12,509.03,Two year,Credit card,Fiber optic,0,53.4,0,0,0,0
C10087,23,68.64,1640.81,Two year,Electronic check,Fiber optic,1,70.1,1,0,0,0
C10088,56,60.63,3412.14,Month-to-month,Mailed check,DSL,0,25.9,0,0,1,0
C10089,60,91.14,5486.52,One year,Mailed check,Fiber optic,1,32.8,0,1,0,0
C10090,32,43.37,1512.51,Month-to-month,Mailed check,DSL,2,75.4,0,0,0,0
C10091,58,24.45,1431.1,Month-to-month,Bank transfer,No,0,28.0,0,0,1,0
C10092,61,80.36,4849.87,Month-to-month,Electronic check,Fiber optic,0,14.3,2,0,0,0
C10093,28,80.78,2254.0,Month-to-month,Mailed check,DSL,0,25.0,1,0,1,1
C10094,65,77.01,4966.66,Month-to-month,Electronic check,Fiber optic,2,73.6,0,1,0,1
C10095,21,75.19,1563.16,Month-to-month,Bank transfer,No,1,81.7,1,0,0,1
C10096,18,56.99,1009.72,Month-to-month,Credit card,DSL,1,64.4,0,0,0,1
C10097,50,84.69,4211.02,Two year,Electronic check,No,2,91.3,1,0,0,1
C10098,46,63.86,2881.83,Month-to-month,Mailed check,DSL,1,112.6,0,1,1,0
C10099,11,52.82,644.72,Month-to-month,Mailed check,DSL,0,66.9,1,1,0,0
C10100,60,57.2,3443.95,Two year,Bank transfer,Fiber optic,0,35.2,2,1,0,0
C10101,15,115.52,1723.78,One year,Electronic check,DSL,0,10.3,1,1,0,1
C10102,58,21.63,1284.85,Month-to-month,Mailed check,No,0,13.3,0,0,0,0
C10103,1,77.49,96.33,Two year,Credit card,Fiber optic,1,19.8,1,0,0,1
C10104,58,23.02,1346.19,Month-to-month,Mailed check,Fiber optic,1,83.9,0,0,0,0
C10105,57,62.29,3577.93,Month-to-month,Bank transfer,Fiber optic,0,21.1,0,0,0,0
C10106,57,54.16,3092.48,Month-to-month,Mailed check,Fiber optic,0,20.9,0,0,0,0
C10107,48,15.0,746.81,Month-to-month,Credit card,Fiber optic,0,22.9,0,0,0,0
C10108,34,74.73,2570.94,One year,Electronic check,Fiber optic,1,38.8,1,0,0,0
C10109,51,55.5,2837.01,Month-to-month,Electronic check,No,0,49.6,1,0,0,1
C10110,20,15.0,291.18,One year,Mailed check,Fiber optic,2,49.5,1,0,0,0
C10111,57,85.99,4962.65,One year,Mailed check,Fiber optic,2,23.6,2,0,0,1
C10112,41,100.88,4116.96,Two year,Bank transfer,Fiber optic,3,80.1,0,1,1,0
C10113,34,102.25,3492.15,Month-to-month,Electronic check,Fiber optic,2,36.5,0,0,0,1
C10114,37,73.97,2753.45,Month-to-month,Electronic check,Fiber optic,3,72.4,1,0,1,1
C10115,41,66.15,2687.77,Two year,Bank transfer,Fiber optic,3,40.8,0,0,0,0
C10116,3,98.2,262.29,One year,Electronic check,Fiber optic,0,22.8,0,0,0,0
C10117,11,107.06,1163.51,Month-to-month,Bank transfer,DSL,3,28.9,2,0,0,1
C10118,18,93.34,1660.43,Month-to-month,Bank transfer,No,0,18.8,0,1,0,1
C10119,9,41.46,314.81,One year,Electronic check,No,0,9.2,1,0,0,1
C10120,32,70.03,2214.9,One year,Bank transfer,Fiber optic,0,44.6,1,0,1,1
C10121,49,75.99,3734.16,One year,Credit card,No,3,16.3,2,0,1,0
C10122,48,19.76,999.12,Two year,Credit card,No,3,11.8,0,0,0,0
C10123,34,76.73,2631.0,Month-to-month,Electronic check,No,1,69.8,2,0,1,1
C10124,62,121.82,7448.86,Month-to-month,Mailed check,DSL,0,95.4,2,0,0,0
C10125,41,81.0,3346.65,One year,Credit card,Fiber optic,2,21.0,0,1,1,0
C10126,6,101.84,588.71,Two year,Bank transfer,Fiber optic,3,263.7,0,0,1,1
C10127,56,69.57,3914.04,Month-to-month,Electronic check,Fiber optic,0,68.4,0,0,1,0
C10128,42,63.17,2652.57,One year,Electronic check,Fiber optic,2,44.3,0,0,0,0
C10129,46,74.53,3420.67,Month-to-month,Bank transfer,Fiber optic,0,5.8,0,0,1,1
C10130,41,44.6,1824.51,Month-to-month,Credit card,No,0,57.1,1,0,0,1
C10131,40,40.91,1635.5,Two year,Credit card,No,0,14.4,0,0,0,0
C10132,7,96.66,730.4,Month-to-month,Credit card,Fiber optic,2,16.7,0,0,0,0
C10133,41,99.31,4070.92,Month-to-month,Electronic check,No,2,61.5,1,0,0,1
C10134,58,40.22,2376.18,One year,Bank transfer,No,0,139.0,0,0,0,0
C10135,22,89.2,2000.0,Month-to-month,Electronic check,Fiber optic,2,45.8,0,0,0,1
C10136,44,62.83,2791.2,Month-to-month,Electronic check,No,0,79.5,0,0,0,0
C10137,3,73.5,149.04,One year,Electronic check,DSL,1,137.3,1,0,0,0
C10138,26,76.51,2033.93,Month-to-month,Credit card,DSL,2,9.0,2,0,0,0
C10139,32,89.86,2857.2,One year,Electronic check,No,2,62.2,0,0,0,0
C10140,71,67.07,4790.6,Month-to-month,Mailed check,Fiber optic,0,97.6,0,1,0,1
C10141,16,100.25,1565.1,Month-to-month,Mailed check,Fiber optic,2,87.2,0,0,0,1
C10142,20,72.74,1407.4,One year,Electronic check,No,2,92.7,0,0,1,0
C10143,30,80.6,2497.06,Month-to-month,Mailed check,Fiber optic,0,26.0,0,0,0,1
C10144,72,44.17,3141.96,Two year,Electronic check,DSL,0,50.9,0,0,1,0
C10145,62,118.97,7421.98,Two year,Mailed check,DSL,2,98.4,0,0,0,0
C10146,3,76.75,234.99,Two year,Mailed check,Fiber optic,0,60.6,0,1,0,1
C10147,17,82.82,1391.14,Month-to-month,Credit card,DSL,2,12.7,1,0,0,1
C10148,60,24.8,1486.21,Month-to-month,Bank transfer,DSL,1,15.3,0,0,1,0
C10149,5,44.43,170.11,Two year,Credit card,No,0,89.1,0,0,0,1
C10150,62,95.95,5948.35,Month-to-month,Mailed check,Fiber optic,0,1.8,0,0,0,0
C10151,21,72.17,1472.26,One year,Electronic check,Fiber optic,2,63.4,1,0,1,1
C10152,67,17.16,1133.9,Two year,Mailed check,DSL,5,72.4,3,0,0,0
C10153,22,90.96,2038.13,Month-to-month,Credit card,Fiber optic,0,55.2,0,0,0,1
C10154,32,51.41,1655.29,Month-to-month,Electronic check,Fiber optic,1,72.7,0,0,0,0
C10155,48,100.28,4754.15,One year,Electronic check,Fiber optic,1,72.2,2,0,0,0
C10156,10,62.8,662.06,One year,Credit card,Fiber optic,2,2.9,0,0,0,1
C10157,41,70.12,2874.64,Month-to-month,Credit card,Fiber optic,2,6.3,0,0,0,1
C10158,37,94.47,3473.7,One year,Electronic check,DSL,2,21.3,0,0,1,0
C10159,57,42.56,2455.79,One year,Bank transfer,DSL,1,55.1,1,0,0,1
C10160,72,40.18,2886.27,Month-to-month,Mailed check,Fiber optic,0,50.8,0,0,0,0
C10161,48,60.09,2837.69,Month-to-month,Mailed check,DSL,2,15.7,0,0,0,1
C10162,30,85.68,2644.31,One year,Mailed check,DSL,1,102.0,0,0,0,0
C10163,30,31.73,951.21,One year,Credit card,DSL,1,163.0,0,0,0,1
C10164,31,23.3,719.04,Two year,Electronic check,No,1,72.2,0,0,0,0
C10165,59,85.59,5033.61,Month-to-month,Credit card,Fiber optic,4,50.1,0,0,0,1
C10166,24,49.93,1245.52,Two year,Electronic check,Fiber optic,0,55.8,0,0,1,0
C10167,13,55.19,696.47,One year,Bank transfer,Fiber optic,0,23.1,0,0,1,0
C10168,25,18.58,402.7,One year,Bank transfer,Fiber optic,1,12.0,0,0,0,0
C10169,2,48.03,68.91,Month-to-month,Bank transfer,DSL,1,81.0,1,0,1,1
C10170,8,64.81,571.55,Month-to-month,Credit card,Fiber optic,0,71.7,1,0,1,0
C10171,7,88.26,651.11,Month-to-month,Bank transfer,Fiber optic,1,81.6,1,0,0,1
C10172,56,45.72,2550.12,Month-to-month,Bank transfer,Fiber optic,1,53.6,0,1,1,1
C10173,53,106.43,5695.72,Month-to-month,Electronic check,DSL,0,11.1,1,0,0,0
C10174,51,47.89,2472.31,Two year,Credit card,No,0,10.3,0,0,1,1
C10175,34,47.92,1618.62,Month-to-month,Mailed check,Fiber optic,1,16.1,0,0,0,0
C10176,52,103.43,5371.72,Two year,Mailed check,DSL,2,112.0,2,0,1,0
C10177,12,70.29,856.65,Month-to-month,Mailed check,No,0,9.4,0,0,0,1
C10178,65,51.2,3294.72,Two year,Mailed check,DSL,1,35.9,0,0,0,0
C10179,37,61.12,2261.62,Month-to-month,Bank transfer,DSL,2,25.4,0,0,1,0
C10180,68,98.83,6732.78,One year,Mailed check,DSL,0,10.7,0,0,0,1
C10181,11,101.66,1050.78,One year,Electronic check,No,2,58.6,0,0,0,0
C10182,36,44.58,1597.31,Two year,Credit card,DSL,1,114.5,2,1,0,0
C10183,51,63.94,3248.82,Month-to-month,Credit card,No,2,38.5,0,1,1,1
C10184,36,67.25,2462.12,Month-to-month,Mailed check,Fiber optic,0,7.6,1,0,0,0
C10185,33,40.34,1257.44,Two year,Credit card,Fiber optic,2,30.9,0,0,0,0
C10186,12,63.61,748.06,Month-to-month,Mailed check,Fiber optic,1,24.1,0,0,1,1
C10187,28,65.13,1804.37,One year,Mailed check,DSL,0,31.1,0,0,0,0
C10188,18,93.51,1721.58,Month-to-month,Credit card,Fiber optic,0,34.1,0,0,0,1
C10189,22,95.19,2092.44,Month-to-month,Bank transfer,Fiber optic,2,127.7,0,0,0,1
C10190,50,56.77,2910.34,One year,Bank transfer,Fiber optic,0,56.1,1,0,0,0
C10191,46,59.65,2770.39,One year,Mailed check,DSL,1,55.6,1,1,0,0
C10192,44,81.61,3574.43,One year,Mailed check,No,2,23.7,0,0,1,1
C10193,27,50.37,1369.58,Month-to-month,Electronic check,Fiber optic,2,79.1,0,0,1,1
C10194,70,79.72,5566.24,One year,Credit card,Fiber optic,2,86.3,1,1,1,0
C10195,7,62.8,473.98,Two year,Electronic check,Fiber optic,0,64.5,0,0,1,1
C10196,25,40.77,965.96,Month-to-month,Mailed check,Fiber optic,1,60.2,0,1,1,0
C10197,9,41.08,336.77,Month-to-month,Electronic check,Fiber optic,2,10.2,3,0,0,1
C10198,25,101.18,2547.73,Month-to-month,Bank transfer,DSL,1,54.2,0,0,0,0
C10199,70,61.09,4325.33,One year,Mailed check,Fiber optic,0,107.4,0,1,0,0
C10200,27,106.01,2774.19,Month-to-month,Bank transfer,DSL,0,56.2,0,0,0,1
C10201,66,52.16,3497.54,One year,Mailed check,DSL,1,71.5,1,1,0,1
C10202,36,72.28,2596.47,Month-to-month,Electronic check,DSL,1,31.2,0,0,0,1
C10203,51,124.82,6290.47,One year,Electronic check,DSL,0,22.0,1,0,0,0
C10204,33,38.57,1152.74,Two year,Electronic check,Fiber optic,0,14.4,0,0,0,0
C10205,20,17.55,289.82,Month-to-month,Bank transfer,Fiber optic,2,95.4,0,0,0,0
C10206,56,97.16,5440.17,Month-to-month,Credit card,Fiber optic,2,36.9,0,0,0,1
C10207,70,44.33,3100.46,Month-to-month,Mailed check,Fiber optic,0,86.9,0,0,1,0
C10208,19,64.48,1250.45,Month-to-month,Mailed check,Fiber optic,2,28.0,0,1,0,0
C10209,57,50.35,2847.97,Month-to-month,Electronic check,Fiber optic,1,91.0,2,1,1,1
C10210,19,71.7,1317.98,Two year,Credit card,No,4,43.3,1,0,0,1
C10211,52,41.24,2127.96,Month-to-month,Credit card,No,1,31.0,0,1,0,0
C10212,57,60.5,3449.84,Month-to-month,Bank transfer,No,0,31.2,0,0,0,0
C10213,33,76.25,2525.48,Month-to-month,Electronic check,No,0,77.0,0,1,1,0
C10214,54,39.79,2117.09,Month-to-month,Mailed check,No,3,56.1,0,0,1,0
C10215,20,47.5,986.06,Two year,Credit card,Fiber optic,0,77.3,1,0,0,0
C10216,6,56.32,313.06,Month-to-month,Electronic check,Fiber optic,1,106.3,0,1,0,1
C10217,7,29.28,170.17,Month-to-month,Bank transfer,Fiber optic,1,34.7,0,0,0,0
C10218,33,54.44,1774.82,Month-to-month,Credit card,DSL,4,65.4,0,0,0,0
C10219,65,67.97,4461.04,Two year,Credit card,Fiber optic,0,38.7,1,1,0,0
C10220,10,55.01,544.79,Two year,Bank transfer,No,1,29.2,0,0,0,0
C10221,33,58.22,1893.48,Month-to-month,Mailed check,Fiber optic,1,56.7,1,0,0,1
C10222,51,64.5,3326.54,One year,Credit card,DSL,2,10.1,1,0,0,0
C10223,15,48.61,814.86,One year,Mailed check,Fiber optic,2,83.2,2,0,1,0
C10224,52,82.28,4286.95,One year,Credit card,DSL,2,51.9,0,0,0,1
C10225,23,100.9,2370.05,Month-to-month,Mailed check,Fiber optic,2,22.9,0,0,0,1
C10226,59,53.39,3191.45,One year,Bank transfer,Fiber optic,1,52.9,0,0,0,0
C10227,42,77.13,3215.23,One year,Credit card,Fiber optic,2,7.1,0,0,0,0
C10228,40,59.01,2361.47,Month-to-month,Bank transfer,Fiber optic,2,13.9,0,1,0,0
C10229,13,74.14,912.52,Month-to-month,Electronic check,DSL,4,14.0,0,0,1,1
C10230,34,104.14,3532.56,Month-to-month,Electronic check,Fiber optic,0,12.5,1,1,1,1
C10231,62,77.72,4793.59,Month-to-month,Credit card,DSL,0,35.5,0,0,0,1
C10232,2,20.66,25.2,Month-to-month,Bank transfer,Fiber optic,1,52.7,1,1,0,1
C10233,55,76.35,4169.25,Two year,Electronic check,Fiber optic,2,204.2,0,0,0,0
C10234,36,95.82,3438.04,Two year,Credit card,DSL,1,92.3,0,0,0,0
C10235,52,59.46,3113.21,Month-to-month,Credit card,No,0,5.0,0,0,1,1
C10236,48,89.89,4309.94,Month-to-month,Credit card,Fiber optic,1,130.0,1,1,0,0
C10237,32,47.75,1453.43,One year,Bank transfer,DSL,0,23.2,0,0,0,0
C10238,23,27.86,610.94,Month-to-month,Credit card,Fiber optic,3,61.8,1,0,0,1
C10239,46,68.53,3091.6,Month-to-month,Credit card,DSL,0,36.4,2,1,0,1
C10240,11,21.09,241.75,Two year,Electronic check,DSL,0,135.8,1,0,0,0
C10241,43,59.01,2557.56,Month-to-month,Credit card,No,0,86.9,1,0,0,0
C10242,7,97.17,690.45,Month-to-month,Bank transfer,Fiber optic,1,122.6,0,0,0,1
C10243,47,17.26,779.72,One year,Credit card,No,1,64.4,0,1,0,0
C10244,46,33.01,1528.33,One year,Bank transfer,Fiber optic,1,27.9,0,0,0,0
C10245,7,39.2,255.6,Month-to-month,Bank transfer,No,0,71.4,0,0,1,0
C10246,55,63.42,3442.57,One year,Electronic check,No,0,106.4,0,0,0,0
C10247,30,55.86,1705.48,Two year,Electronic check,DSL,3,19.9,0,0,0,0
C10248,57,99.98,5731.58,Month-to-month,Electronic check,DSL,2,58.5,0,0,0,1
C10249,3,88.86,304.54,One year,Bank transfer,Fiber optic,4,80.1,0,1,1,0
C10250,13,77.38,981.61,Month-to-month,Credit card,Fiber optic,0,25.7,1,0,0,0
C10251,36,68.64,2518.21,Month-to-month,Electronic check,Fiber optic,0,31.4,1,1,1,1
C10252,14,74.83,1027.88,Month-to-month,Electronic check,DSL,0,39.0,0,0,1,0
C10253,24,43.45,1068.94,Month-to-month,Bank transfer,No,0,58.9,0,1,0,0
C10254,48,86.43,4128.2,Month-to-month,Electronic check,DSL,1,43.3,1,0,1,1
C10255,11,37.2,400.24,Two year,Electronic check,No,3,46.9,1,0,0,0
C10256,49,85.88,4111.27,Month-to-month,Electronic check,Fiber optic,0,145.8,0,0,0,1
C10257,8,94.65,745.12,Two year,Bank transfer,DSL,2,42.0,0,0,1,1
C10258,13,70.27,917.15,Month-to-month,Bank transfer,No,1,116.4,2,1,0,1
C10259,43,60.59,2588.97,Two year,Credit card,Fiber optic,2,190.5,1,0,0,0
C10260,58,75.01,4420.83,Month-to-month,Electronic check,Fiber optic,1,21.6,2,1,0,0
C10261,13,15.0,148.5,Month-to-month,Electronic check,No,1,88.6,0,0,0,0
C10262,22,72.56,1573.78,One year,Credit card,DSL,3,29.5,1,0,0,0
C10263,67,62.17,4129.2,One year,Credit card,DSL,0,85.7,0,0,1,0
C10264,72,63.73,4566.01,Month-to-month,Mailed check,DSL,1,28.7,1,1,0,0
C10265,42,82.66,3512.98,Month-to-month,Credit card,DSL,1,4.3,1,0,0,1
C10266,33,63.13,2142.41,One year,Bank transfer,No,2,76.7,1,1,0,1
C10267,25,36.49,884.22,One year,Credit card,No,1,48.0,0,0,1,0
C10268,45,61.46,2736.78,Month-to-month,Mailed check,Fiber optic,0,109.3,1,0,0,1
C10269,43,66.69,2821.38,One year,Electronic check,Fiber optic,1,28.3,1,1,0,0
C10270,22,67.87,1545.39,Month-to-month,Electronic check,No,0,41.7,0,0,1,1
C10271,2,69.05,182.94,Month-to-month,Bank transfer,DSL,0,27.1,1,0,0,1
C10272,11,90.98,996.54,One year,Credit card,DSL,2,13.5,2,0,0,1
C10273,70,37.85,2593.66,Two year,Mailed check,No,4,57.2,4,0,0,0
C10274,31,69.39,2098.82,Month-to-month,Electronic check,Fiber optic,0,41.8,1,0,1,0
C10275,35,97.25,3410.58,Month-to-month,Electronic check,DSL,4,6.8,0,0,1,1
C10276,34,21.63,757.39,Month-to-month,Bank transfer,Fiber optic,1,111.9,1,0,0,1
C10277,57,69.49,3878.28,One year,Credit card,DSL,2,46.1,0,0,1,0
C10278,5,50.37,239.0,Month-to-month,Mailed check,Fiber optic,2,26.4,0,0,0,1
C10279,6,55.73,399.11,Month-to-month,Bank transfer,Fiber optic,0,77.5,0,0,1,1
C10280,20,42.38,838.9,Month-to-month,Bank transfer,DSL,0,94.2,1,0,0,0
C10281,36,60.76,2246.95,Two year,Credit card,No,1,15.0,0,0,1,0
C10282,49,111.03,5466.43,Month-to-month,Credit card,Fiber optic,1,12.7,0,1,1,0
C10283,36,33.39,1158.67,One year,Electronic check,Fiber optic,1,31.4,1,0,1,0
C10284,32,35.76,1132.61,Month-to-month,Bank transfer,Fiber optic,1,60.1,0,1,1,0
C10285,68,32.45,2201.45,Month-to-month,Credit card,Fiber optic,1,125.7,0,0,0,0
C10286,12,108.19,1260.18,Month-to-month,Credit card,DSL,0,1.7,1,1,1,1
C10287,42,53.44,2205.69,Month-to-month,Bank transfer,DSL,2,152.5,1,0,1,0
C10288,40,64.36,2634.67,Month-to-month,Electronic check,Fiber optic,1,49.9,0,0,0,1
C10289,35,54.93,1883.46,Month-to-month,Bank transfer,Fiber optic,0,106.1,1,0,0,0
C10290,59,41.39,2485.15,Month-to-month,Bank transfer,DSL,4,101.0,0,1,0,1
C10291,20,59.12,1164.94,Month-to-month,Electronic check,No,0,41.9,0,0,0,1
C10292,69,126.46,8724.71,Month-to-month,Credit card,No,2,30.8,0,0,0,1
C10293,24,99.8,2417.67,Month-to-month,Electronic check,DSL,1,63.3,0,1,1,0
C10294,40,43.68,1723.26,Month-to-month,Credit card,DSL,1,50.9,0,0,0,0
C10295,38,81.19,3107.94,Month-to-month,Mailed check,Fiber optic,0,25.0,0,1,0,1
C10296,62,44.21,2659.16,One year,Electronic check,DSL,1,41.9,0,0,0,0
C10297,32,20.59,676.47,Two year,Bank transfer,No,3,33.5,0,0,0,0
C10298,21,90.49,1801.55,One year,Bank transfer,Fiber optic,0,45.1,1,0,0,0
C10299,2,94.0,178.93,Month-to-month,Credit card,DSL,1,94.0,0,0,0,0
C10300,27,91.15,2495.22,Two year,Bank transfer,Fiber optic,2,33.3,0,0,0,0
C10301,60,53.25,3219.89,Two year,Electronic check,DSL,2,54.9,1,1,1,0
C10302,1,60.83,8.89,Month-to-month,Credit card,Fiber optic,2,41.3,0,0,1,1
C10303,65,83.74,5396.31,Month-to-month,Bank transfer,DSL,0,40.9,1,0,0,0
C10304,40,74.79,2964.05,One year,Electronic check,No,2,36.2,0,0,0,1
C10305,11,55.16,614.21,Two year,Credit card,Fiber optic,1,64.7,1,0,0,1
